consumer_sp,resource_sp,consumed
Lynx lynx,Capreolus capreolus,1
Lynx lynx,Rangifer tarandus,1
Lynx lynx,Dama dama,1
Lynx lynx,Cervus elaphus,1
Lynx lynx,Capra ibex,1
Galidictis grandidieri,Echinops telfairi,1
Galidictis grandidieri,Geogale aurita,1
Galidictis grandidieri,Hipposideros commersoni,1
Galidictis grandidieri,Microcebus griseorufus,1
Galidictis grandidieri,Rattus rattus,1
Speothos venaticus,Cuniculus paca,1
Speothos venaticus,Hydrochoerus hydrochaeris,1
Speothos venaticus,Dasyprocta azarae,1
Speothos venaticus,Dasypus novemcinctus,1
Speothos venaticus,Dasyprocta prymnolopha,1
Urocyon cinereoargenteus,Sigmodon hispidus,1
Urocyon cinereoargenteus,Rattus norvegicus,1
Cryptoprocta ferox,Hypogeomys antimena,1
Cryptoprocta ferox,Potamochoerus larvatus,1
Cryptoprocta ferox,Mungotictis decemlineata,1
Cryptoprocta ferox,Propithecus diadema,1
Cryptoprocta ferox,Indri indri,1
Cryptoprocta ferox,Tenrec ecaudatus,1
Cryptoprocta ferox,Echinops telfairi,1
Cryptoprocta ferox,Setifer setosus,1
Cryptoprocta ferox,Propithecus verreauxi,1
Cryptoprocta ferox,Eulemur fulvus,1
Cryptoprocta ferox,Lepilemur ruficaudatus,1
Cryptoprocta ferox,Mirza coquereli,1
Cryptoprocta ferox,Cheirogaleus medius,1
Cryptoprocta ferox,Microcebus murinus,1
Cryptoprocta ferox,Suncus madagascariensis,1
Cryptoprocta ferox,Geogale aurita,1
Cryptoprocta ferox,Rattus rattus,1
Cryptoprocta ferox,Eliurus myoxinus,1
Cryptoprocta ferox,Macrotarsomys bastardi,1
Cryptoprocta ferox,Lemur catta,1
Cryptoprocta ferox,Prolemur simus,1
Cryptoprocta ferox,Propithecus coquereli,1
Cryptoprocta ferox,Lepilemur edwardsi,1
Cryptoprocta ferox,Propithecus edwardsi,1
Cryptoprocta ferox,Propithecus candidus,1
Cryptoprocta ferox,Propithecus perrieri,1
Cryptoprocta ferox,Propithecus tattersalli,1
Cryptoprocta ferox,Microgale brevicaudata,1
Cryptoprocta ferox,Suncus murinus,1
Cryptoprocta ferox,Macrotarsomys ingens,1
Cryptoprocta ferox,Avahi occidentalis,1
Cryptoprocta ferox,Eulemur mongoz,1
Lycalopex culpaeus,Octodon degus,1
Lycalopex griseus,Ctenomys magellanicus,1
Lycalopex griseus,Octodon degus,1
Lycalopex gymnocercus,Graomys griseoflavus,1
Lycalopex culpaeus,Microcavia australis,1
Lycalopex culpaeus,Lepus europaeus,1
Lycalopex culpaeus,Zaedyus pichiy,1
Lycalopex culpaeus,Lama guanicoe,1
Lycalopex griseus,Microcavia australis,1
Lycalopex griseus,Zaedyus pichiy,1
Lycalopex griseus,Lepus europaeus,1
Panthera tigris,Axis axis,1
Panthera tigris,Sus scrofa,1
Panthera tigris,Helarctos malayanus,1
